model,scenario,version,region,unit,variable,type,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD ENV-Growth 2025,Historical Reference,1,Central African Republic,billion USD_2010/yr,GDP|PPP,ANNUAL,2.288862204,2.671106926,3.064024771,3.316044609,3.321121727,3.497088571,4.206751526,3.058508594,3.614349242,3.93669834,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Central African Republic,billion USD_2015/yr,GDP|PPP,ANNUAL,2.646171047,3.088087084,3.542342402,3.833704458,3.839574152,4.043010763,4.863457517,3.535965108,4.178576719,4.551246969,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Central African Republic,billion USD_2017/yr,GDP|PPP,ANNUAL,2.86721,3.34604,3.83824,4.15394,4.1603,4.38073,5.26971,3.83133,4.52762,4.93142,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Chad,billion USD_2010/yr,GDP|PPP,ANNUAL,4.228339664,5.220224889,6.487594246,7.517506518,8.539306773,17.17622991,21.76710874,27.27961749,26.05255701,29.57830171,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Chad,billion USD_2015/yr,GDP|PPP,ANNUAL,3.980887476,4.914725291,6.10792527,7.077564701,8.039566848,16.17103732,20.49324734,25.68315136,24.52790129,27.84731128,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Chad,billion USD_2017/yr,GDP|PPP,ANNUAL,4.03964,4.98726,6.19807,7.18202,8.15822,16.4097,20.7957,26.0622,24.8899,28.2583,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Chile,billion USD_2010/yr,GDP|PPP,ANNUAL,89.22223083,85.93694092,113.9224595,172.7856095,202.3284852,253.6973873,307.6820694,372.6433042,377.1968252,450.0881289,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Chile,billion USD_2015/yr,GDP|PPP,ANNUAL,97.06998425,93.49572886,123.9427803,187.9833785,220.1247681,276.0119442,334.7449773,405.4200319,410.3740686,489.6767003,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Chile,billion USD_2017/yr,GDP|PPP,ANNUAL,104.613,100.761,133.574,202.591,237.23,297.46,360.757,436.924,442.263,527.728,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,China,billion USD_2010/yr,GDP|PPP,ANNUAL,678.4567258,1128.087613,1647.532704,2935.077783,4539.82947,7244.648089,12380.14099,18128.33888,23954.24469,30707.85378,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,China,billion USD_2015/yr,GDP|PPP,ANNUAL,666.0444825,1107.449454,1617.391391,2881.381065,4456.774109,7112.10856,12153.64854,17796.68419,23516.0061,30146.05914,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,China,billion USD_2017/yr,GDP|PPP,ANNUAL,651.322,1082.97,1581.64,2817.69,4358.26,6954.9,11885,17403.3,22996.2,29479.7,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Colombia,billion USD_2010/yr,GDP|PPP,ANNUAL,190.1907545,212.7425688,268.4484718,338.5360261,323.5077957,386.4405957,480.4867473,603.9887715,613.463816,772.0470413,,,,,,,,,,,,,,,
OECD ENV-Growth 2025,Historical Reference,1,Colombia,billion USD_2015/yr,GDP|PPP,ANNUAL,196.5113665,219.8126455,277.3698236,349.7865985,334.2589347,399.2831813,496.45477,624.0611386,633.8510673,797.7044911,,,,,,,,,,,,,,,
