Region,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,CO2,CH4,N2O,F-gas,CO2bio,Calculated_Total_GHG,Official_AR5_Total,Difference
04_RUS,2.G,Other Product Manufacture and Use,0.0,0.0,492.53233264,11442.3959247,0.0,11934.92825734,11934.92826,2.6600009732646868e-06
04_RUS,3.A.1,Enteric Fermentation,0.0,49952.528108,0.0,0.0,0.0,49952.528108,49952.52809,-1.799999881768599e-05
04_RUS,3.A.2,Manure Management,0.0,10699.5261828,2899.8264127,0.0,0.0,13599.3525955,13599.35259,-5.500000042957254e-06
04_RUS,3.C.1,Emissions from biomass burning,0.0,1199.87608076,294.414038315,0.0,24045.13575,1494.290119075,1494.290119,-7.499988896597642e-08
04_RUS,3.C.2,Liming,5551.961905,0.0,0.0,0.0,0.0,5551.961905,5551.961905,0.0
04_RUS,3.C.3,Urea application,442.9856337,0.0,0.0,0.0,0.0,442.9856337,442.9856337,0.0
04_RUS,3.C.4,Direct N2O Emissions from managed soils,0.0,0.0,34019.1395475,0.0,0.0,34019.1395475,34019.13955,2.4999972083605826e-06
04_RUS,3.C.5,Indirect N2O Emissions from managed soils,0.0,0.0,6109.3290959,0.0,0.0,6109.3290959,6109.329096,1.00000761449337e-07
04_RUS,3.C.6,Indirect N2O Emissions from manure management,0.0,0.0,539.035544145,0.0,0.0,539.035544145,539.0355442,5.499998678715201e-08
04_RUS,3.C.7,Rice cultivations,0.0,917.8339212,0.0,0.0,0.0,917.8339212,917.8339212,0.0
04_RUS,4.A,Solid Waste Disposal,0.0,62097.757988,0.0,0.0,0.0,62097.757988,62097.75798,-7.999995432328433e-06
04_RUS,4.B,Biological Treatment of Solid Waste,0.0,58.032052400000005,41.19239447,0.0,0.0,99.22444687000001,99.22444674,-1.3000000365082087e-07
04_RUS,4.C,Incineration and Open Burning of Waste,0.0,3.05140836,0.222149235,0.0,9.221289011,3.2735575949999998,3.273557599,4.000000330961484e-09
